"alert__week","alert__year","alert__count","confidence__cat"
49,2021,5724,"n"
48,2021,416,"h"
48,2021,1705,"l"
48,2021,7240,"n"
47,2021,221,"h"
47,2021,1460,"l"
47,2021,6682,"n"
46,2021,862,"h"
46,2021,2426,"l"
46,2021,12207,"n"
45,2021,1108,"h"
45,2021,2650,"l"
45,2021,12780,"n"
44,2021,1170,"h"
44,2021,3225,"l"
44,2021,12019,"n"
43,2021,836,"h"
43,2021,2490,"l"
43,2021,9566,"n"
42,2021,1672,"h"
42,2021,3139,"l"
42,2021,12092,"n"
41,2021,1131,"h"
41,2021,4434,"l"
41,2021,12837,"n"
40,2021,579,"h"
40,2021,1610,"l"
40,2021,7145,"n"
39,2021,1044,"h"
39,2021,2433,"l"
39,2021,10612,"n"
38,2021,358,"h"
38,2021,2036,"l"
38,2021,6987,"n"
37,2021,477,"h"
37,2021,2222,"l"
37,2021,7345,"n"
36,2021,909,"h"
36,2021,2147,"l"
36,2021,9000,"n"
35,2021,577,"h"
35,2021,2267,"l"
35,2021,8254,"n"
34,2021,340,"h"
34,2021,1685,"l"
34,2021,7205,"n"
33,2021,959,"h"
33,2021,1755,"l"
33,2021,9271,"n"
32,2021,415,"h"
32,2021,1971,"l"
32,2021,8917,"n"
31,2021,397,"h"
31,2021,1090,"l"
31,2021,6146,"n"
30,2021,489,"h"
30,2021,660,"l"
30,2021,6040,"n"
29,2021,322,"h"
29,2021,573,"l"
29,2021,5388,"n"
28,2021,281,"h"
28,2021,1057,"l"
28,2021,6426,"n"
27,2021,333,"h"
27,2021,533,"l"
27,2021,6175,"n"
26,2021,506,"h"
26,2021,1098,"l"
26,2021,7844,"n"
25,2021,204,"h"
25,2021,692,"l"
25,2021,5840,"n"
24,2021,238,"h"
24,2021,439,"l"
24,2021,4426,"n"
23,2021,199,"h"
23,2021,462,"l"
23,2021,4851,"n"
22,2021,112,"h"
22,2021,301,"l"
22,2021,3747,"n"
21,2021,142,"h"
21,2021,268,"l"
21,2021,3679,"n"
20,2021,264,"h"
20,2021,570,"l"
20,2021,4724,"n"
19,2021,84,"h"
19,2021,460,"l"
19,2021,3570,"n"
18,2021,67,"h"
18,2021,135,"l"
18,2021,1890,"n"
17,2021,16,"h"
17,2021,149,"l"
17,2021,1108,"n"
16,2021,13,"h"
16,2021,131,"l"
16,2021,811,"n"
15,2021,9,"h"
15,2021,44,"l"
15,2021,459,"n"
14,2021,9,"h"
14,2021,61,"l"
14,2021,450,"n"
13,2021,5,"h"
13,2021,40,"l"
13,2021,434,"n"
12,2021,5,"h"
12,2021,2,"l"
12,2021,209,"n"
11,2021,1,"h"
11,2021,5,"l"
11,2021,110,"n"
10,2021,12,"l"
10,2021,208,"n"
9,2021,2,"l"
9,2021,71,"n"
8,2021,3,"h"
8,2021,13,"l"
8,2021,160,"n"
7,2021,3,"h"
7,2021,9,"l"
7,2021,164,"n"
6,2021,2,"h"
6,2021,30,"l"
6,2021,152,"n"
5,2021,13,"h"
5,2021,47,"l"
5,2021,362,"n"
4,2021,11,"h"
4,2021,48,"l"
4,2021,478,"n"
3,2021,2,"h"
3,2021,70,"l"
3,2021,387,"n"
2,2021,26,"h"
2,2021,141,"l"
2,2021,965,"n"
1,2021,71,"h"
1,2021,129,"l"
1,2021,1940,"n"
53,2020,11,"h"
53,2020,35,"l"
53,2020,154,"n"
52,2020,95,"h"
52,2020,178,"l"
52,2020,1932,"n"
51,2020,85,"h"
51,2020,476,"l"
51,2020,2769,"n"
50,2020,34,"h"
50,2020,500,"l"
50,2020,1907,"n"
49,2020,378,"h"
49,2020,991,"l"
49,2020,8073,"n"
48,2020,852,"h"
48,2020,1249,"l"
48,2020,8964,"n"
47,2020,1250,"h"
47,2020,2325,"l"
47,2020,15398,"n"
46,2020,415,"h"
46,2020,2096,"l"
46,2020,7791,"n"
45,2020,1469,"h"
45,2020,3038,"l"
45,2020,16736,"n"
44,2020,1904,"h"
44,2020,2615,"l"
44,2020,13018,"n"
43,2020,1767,"h"
43,2020,4073,"l"
43,2020,16126,"n"
42,2020,781,"h"
42,2020,2195,"l"
42,2020,9587,"n"
41,2020,609,"h"
41,2020,1568,"l"
41,2020,6180,"n"
40,2020,718,"h"
40,2020,3121,"l"
40,2020,12244,"n"
39,2020,793,"h"
39,2020,3235,"l"
39,2020,11431,"n"
38,2020,1671,"h"
38,2020,2904,"l"
38,2020,13800,"n"
37,2020,447,"h"
37,2020,2177,"l"
37,2020,7603,"n"
36,2020,460,"h"
36,2020,2076,"l"
36,2020,7612,"n"
35,2020,732,"h"
35,2020,1849,"l"
35,2020,8376,"n"
34,2020,666,"h"
34,2020,1876,"l"
34,2020,9686,"n"
33,2020,577,"h"
33,2020,2494,"l"
33,2020,11078,"n"
32,2020,509,"h"
32,2020,1451,"l"
32,2020,7752,"n"
31,2020,231,"h"
31,2020,625,"l"
31,2020,4216,"n"
30,2020,467,"h"
30,2020,2087,"l"
30,2020,10692,"n"
29,2020,643,"h"
29,2020,1067,"l"
29,2020,8568,"n"
28,2020,589,"h"
28,2020,1467,"l"
28,2020,9706,"n"
27,2020,294,"h"
27,2020,1233,"l"
27,2020,8209,"n"
26,2020,200,"h"
26,2020,410,"l"
26,2020,4778,"n"
25,2020,258,"h"
25,2020,701,"l"
25,2020,5355,"n"
24,2020,417,"h"
24,2020,1029,"l"
24,2020,8552,"n"
23,2020,220,"h"
23,2020,818,"l"
23,2020,6674,"n"
22,2020,480,"h"
22,2020,706,"l"
22,2020,7596,"n"
21,2020,243,"h"
21,2020,1344,"l"
21,2020,7982,"n"
20,2020,185,"h"
20,2020,527,"l"
20,2020,4400,"n"
19,2020,276,"h"
19,2020,733,"l"
19,2020,5056,"n"
18,2020,166,"h"
18,2020,636,"l"
18,2020,4326,"n"
17,2020,15,"h"
17,2020,281,"l"
17,2020,1685,"n"
16,2020,209,"h"
16,2020,817,"l"
16,2020,4075,"n"
15,2020,31,"h"
15,2020,288,"l"
15,2020,1485,"n"
14,2020,61,"h"
14,2020,292,"l"
14,2020,1569,"n"
13,2020,15,"h"
13,2020,94,"l"
13,2020,699,"n"
12,2020,17,"h"
12,2020,101,"l"
12,2020,484,"n"
11,2020,9,"h"
11,2020,224,"l"
11,2020,482,"n"
10,2020,18,"l"
10,2020,151,"n"
9,2020,2,"h"
9,2020,26,"l"
9,2020,181,"n"
8,2020,5,"l"
8,2020,89,"n"
